#,Business,Show?,QA state,Priority,Phone,Best email,Other emails,Contact / role,Channel,Our concept,Their site,Their score,Vertical,Area,Address,Batch,Last verified,Fix reason,Duplicate of,Note
85,Lawrence Kassan Podiatry,YES,Design verified,SHOW,(215) 336-4151,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/lawrence-kassan-podiatry/,,,,,"2101 Snyder Avenue, Philadelphia, PA 19145",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
86,Martha's Sophisticated Shine,YES,Design verified,SHOW,(267) 694-9410,marthas.shine@gmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/marthas-sophisticated-shine/,,,,,"Philadelphia, PA",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
87,Mayfair Family Chiropractic Center,YES,Design verified,SHOW,(215) 332-8686,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/mayfair-family-chiropractic/,,,,,"3301 Ryan Ave, Philadelphia, PA",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
88,Mayfair Fence,YES,Design verified,SHOW,(215) 676-1120,info@mayfairfence.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/mayfair-fence/,,,,,"13420 Damar Drive, Philadelphia, PA",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
89,Metro Physical Medicine,YES,Design verified,SHOW,(215) 422-3140,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/metro-physical-medicine/,,,,,"15 N. 22nd Street, Philadelphia, PA",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
90,Moss Contracting,YES,Design verified,SHOW,(267) 303-3614,r.moss@mosscontractingllc.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/moss-contracting/,,,,,"2924 Ridge Ave, Philadelphia, PA",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
91,Northeast Family Foot Care,YES,Design verified,SHOW,(215) 673-3200,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/northeast-family-foot-care/,,,,,"9892 Bustleton Ave., First Floor, Philadelphia, PA 19115",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
92,Oxford Rehabilitation Center,YES,Design verified,SHOW,(215) 725-2000,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/oxford-rehabilitation-center/,,,,,"6735 Harbison Ave, Philadelphia, PA",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
93,"Patriot Fence & Ironworks, LLC.",YES,Design verified,SHOW,(215) 943-3631,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/patriot-fence-and-ironworks/,,,,,"77 Canyon Road, Levittown, PA 19057",Philadelphia W31 verified 25,2026-08-05,,,Original Batch 2 design. Open this Batch
94,Philly Medical and Rehab Associates,YES,Design verified,SHOW,(215) 535-5616,pmrainc@gmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/philly-medical-and-rehab-associates/,,,,,"6401 Rising Sun Ave, Philadelphia, PA 19111",Philadelphia W31 verified 25,2026-08-05,,,Original Batch 2 design. Open this Batch
95,PT in Philly,YES,Design verified,SHOW,(267) 201-0986,ptinphilly@gmail.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/pt-in-philly/,,,,,"241 South 2nd Street, Philadelphia, PA 19106",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
96,RHI Construction Inc.,YES,Design verified,SHOW,(267) 872-3318,office@rhihomes.com,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/rhi-construction/,,,,,"21 Wolf Street, Philadelphia, PA 19148",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
97,Rittenhouse Square Chiro,YES,Design verified,SHOW,(215) 546-1010,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/rittenhouse-square-chiro/,,,,,,Philadelphia W31 verified 25,2026-08-13,,,Original Batch 2 design. Open this Batch
98,Rufus Chiropractic and Wellness,YES,Design verified,SHOW,(215) 673-1113,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/rufus-chiropractic-and-wellness/,,,,,"2875 Holme Ave, Philadelphia, PA 19152",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
99,SCRC Accident & Injury Center,YES,Design verified,SHOW,(267) 286-0934,,,Phone / official contact route,Phone / contact form only,https://philly-25-homepage-concepts-batch-2.netlify.app/scrc-accident-and-injury-center/,,,,,"7707 Ogontz Ave, Philadelphia, PA 19150",Philadelphia W31 verified 25,2026-08-05,,,Original Batch 2 design. Open this Batch
100,ZBC General Contracting,YES,Design verified,SHOW,(267) 688-9024,zbcrox447@comcast.net,,General public email,Phone + email,https://philly-25-homepage-concepts-batch-2.netlify.app/zbc-general-contracting/,https://zbcgeneralcontracting.com/,68,plumber,Philadelphia,"447 Roxborough Avenue, Philadelphia, PA 19128",Philadelphia W31 verified 25,2026-08-05,,,Open the Batch 2 hub URL. The remount is
101,Andorra Family Dentistry,NO,Never design-reviewed,REVIEW,(215) 515-5710,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/andorra-family-dentistry/,https://www.andorradental.com/,26,Business,Philadelphia,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
102,Benjamin Lovell Shoes,NO,Never design-reviewed,REVIEW,(215) 564-4655,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/benjamin-lovell-shoes/,https://www.blshoes.com/,33,Business,Montgomery County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
103,Davidson Fabricating,NO,Never design-reviewed,REVIEW,(610) 544-9750,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/davidson-fabricating/,https://davidsonfab.com/,33,Business,Chester County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
104,Dream Team Home Services,NO,Never design-reviewed,REVIEW,(610) 477-8226,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dream-team-hvac/,https://dreamteampa.com/,33,Business,Chester County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
105,Dutton Road Veterinary Clinic,NO,No photography on the remount,REVIEW,(215) 331-2968,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dutton-road-veterinary-clinic/,http://duttonroadvetclinic.com/,25,Business,Philadelphia,,phl-2026-w33,2026-08-13,missing-images,,No photos - do not show
106,Eastern Dragon,NO,Never design-reviewed,REVIEW,(215) 855-0366,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/eastern-dragon/,http://easterndragonfood.com/,31,Business,Montgomery County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
107,Electric Direct,NO,Never design-reviewed,REVIEW,(610) 853-8288,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/electric-direct/,https://www.electric-direct.net/,40,Business,Delaware County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
108,Elverson Supply,NO,Never design-reviewed,REVIEW,(610) 286-5021,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/elverson-supply/,https://elversonsupply.net/,33,Business,Chester County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
109,Floral and Hardy of Skippack,NO,Never design-reviewed,REVIEW,(610) 584-0797,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/floral-and-hardy/,https://floralandhardyofskippack.com/,33,Business,Montgomery County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
110,Frederick W. Oster Fine Violins,NO,Never design-reviewed,REVIEW,(215) 545-1100,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/oster-fine-violins/,https://www.osterviolins.com/,33,musical-instrument,Philadelphia,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
111,GO2 Tech,NO,Never design-reviewed,REVIEW,(610) 567-3462,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/go2tech/,https://www.go2tech.com/,33,Business,Delaware County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
112,Home Furnishing Consignment,NO,Never design-reviewed,REVIEW,(610) 964-1903,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/home-furnishings-consignment/,http://www.hfconsignment.com/,31,Business,Chester County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
113,Johnny's Pizza & Pasta,NO,Never design-reviewed,REVIEW,(610) 287-4771,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/johnnys-pizza/,http://johnnysitaliano.com/,36,Business,Montgomery County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
114,MacLaren Kitchen and Bath,NO,Never design-reviewed,REVIEW,(610) 436-5436,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/maclaren-kitchen-and-bath/,https://maclarenfab.com/,33,hardware,Chester County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
115,Metalmorphose Ironworks,NO,Never design-reviewed,REVIEW,(484) 919-4548,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/metalmorphose-iron-studio/,https://metalmorphoseironworks.com/,55,metal-construction,Chester County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
116,Oaks Italian Deli And Pizzeria,NO,Never design-reviewed,REVIEW,(610) 666-0280,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/oaks-italian-deli/,http://oaksitaliandeli.com/,46,restaurant,Montgomery County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
117,Peking Gourmet,NO,Never design-reviewed,REVIEW,(610) 326-2332,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/peking-gourmet/,http://pekinggourmetpottstown.com/,36,restaurant,Montgomery County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
118,Philadelphia Garage,NO,Never design-reviewed,REVIEW,(610) 788-2242,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/philadelphia-garage/,https://www.philadelphiagarage.com/,33,floorer,Chester County,"11 Hagerty Blvd, Suite 8, West Chester, PA 19382",phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
119,Pipe Xpress,NO,Never design-reviewed,REVIEW,(610) 918-7120,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/pipe-xpress/,https://pipexpressinc.com/,33,hardware,Chester County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
120,Pro Nails,NO,Never design-reviewed,REVIEW,(215) 657-6245,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/pro-nails/,https://gopronails.com/,33,beauty,Montgomery County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
121,Salter's Fireplace,NO,Never design-reviewed,REVIEW,(610) 631-9372,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/salters-fireplace/,,,,,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
122,Southampton Hot Tub,NO,Never design-reviewed,REVIEW,(215) 791-6170,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/southampton-hot-tub/,https://southamptonhottub.com/,33,swimming-pool,Chester County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
123,The New Pennsburg Diner,NO,Never design-reviewed,REVIEW,(215) 679-2190,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/new-pennsburg-diner/,https://pennsburgdiner.com/,33,restaurant,Montgomery County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
124,THR Insurance,NO,Never design-reviewed,REVIEW,(610) 426-0007,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/thr-insurance/,http://www.thrinsurance.com/,43,insurance,Montgomery County,,phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
125,WJA Landscaping,NO,Never design-reviewed,REVIEW,(267) 278-9754,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/wja-landscaping/,https://www.wjalandscaping.com/,33,gardener,Montgomery County,"138 Pennapacker Rd, Collegeville, PA 19426",phl-2026-w33,2026-08-13,design-review-pending,,Confirm on screenshare
126,Always Dental Care,NO,"Hero art is generated, not real",REVIEW,(484) 392-7687,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/always-dental-care/,https://www.alwaysdentalcare.com/,26,Business,Montgomery County,,phl-2026-w34,2026-08-13,hero-not-authentic,,Taste-pass first
127,Auger Manufacturing Specialists,NO,Never design-reviewed,REVIEW,(610) 647-4677,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/auger-manufacturing/,http://augermfgspec.com/,36,Business,Chester County,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
128,Barnes Financial Group,NO,Never design-reviewed,REVIEW,(610) 627-2340,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/barnes-financial-group/,http://www.barnesfinancial.com/,23,Business,Delaware County,"Media, PA",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
129,BeBalanced Royersford,NO,Never design-reviewed,REVIEW,(610) 968-2322,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/be-balanced-hormone/,https://www.bebalancedliving.com/our-story-learn-more,,Business,,"519 Main St, Royersford, PA",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
130,BG Electric Service LLC,NO,Never design-reviewed,REVIEW,(215) 990-7966,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bg-electric/,https://www.bgelectricservicellc.com/,33,Business,Philadelphia,"Philadelphia, PA",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
131,BPM Fitness,NO,Never design-reviewed,REVIEW,(215) 515-3110,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bpm-fitness/,https://bpmfitnessphl.com/,33,Business,Philadelphia,"1808 Spring Garden St, Philadelphia, PA",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
132,Chestnut Hill Animal Hospital,NO,Never design-reviewed,REVIEW,(215) 836-2950,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/chestnut-hill-animal-hospital/,http://chestnuthillvet.com/,32,Business,Montgomery County,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
133,Colmar Dentistry For Kids,NO,Never design-reviewed,REVIEW,(215) 822-6777,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/colmar-dentistry-for-kids/,https://www.colmarkids.com/,24,Business,Montgomery County,"Colmar, PA",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
134,County Line Veterinary Hospital,NO,Never design-reviewed,REVIEW,(215) 675-0533,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/county-line-veterinary-hospital/,https://www.warminsterhorshamvet.com/,33,Business,Montgomery County,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
135,DreamMaker Bath & Kitchen of Chester County,NO,Never design-reviewed,REVIEW,(610) 484-2000,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dreammaker-bath-kitchen/,https://www.dreammaker-remodel.com/chester-county/,33,Business,Chester County,"Chester County, PA",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
136,Easy Auto Tag & Insurance,NO,Never design-reviewed,REVIEW,(267) 239-0692,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/easy-auto-tag-insurance/,http://www.easyautotag.com/,36,Business,Philadelphia,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
137,"Eisenberg, Rothweiler, Winkler, Eisenberg & Jeck",NO,Never design-reviewed,REVIEW,(215) 546-6636,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/eisenberg-rothweiler/,https://www.erlegal.com/,33,Business,Philadelphia,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
138,Fillman & Sons Floors & More,NO,Never design-reviewed,REVIEW,(610) 928-1515,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/fillman-and-sons-floors/,http://www.fillmanandsons.com/,25,Business,Lehigh County,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
139,Glen Eagle Pediatric Dentistry,NO,Never design-reviewed,REVIEW,(484) 639-9066,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/glen-eagle-pediatric-dentistry/,https://gleneaglepediatricdentistry.com/,33,Business,Delaware County,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
140,HaverCrown Dental,NO,Never design-reviewed,REVIEW,(610) 446-6688,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/havercrown-dental/,https://www.havercrowndental.com/,23,Business,Delaware County,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
141,Jarman Sales & Service,NO,Never design-reviewed,REVIEW,(215) 389-2345,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/jarman-hvac/,http://jarmanairconditioning.com/,20,Business,Philadelphia,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
142,L. A. Verruni Landscaping,NO,Never design-reviewed,REVIEW,(610) 327-2622,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/verruni-landscaping/,http://www.verrunilandscaping.com/,25,gardener,Montgomery County,"Sanatoga, PA",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
143,Live Urgent Care King of Prussia,NO,Never design-reviewed,REVIEW,(484) 750-5212,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/live-urgent-care/,https://liveurgentcare.com/locations/kingofprussia/,32,clinic,Montgomery County,"King of Prussia, PA",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
144,Malvern Vision Care,NO,Never design-reviewed,REVIEW,(610) 644-1879,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/malvern-vision-care/,https://www.malvernvision.com/,23,optician,Chester County,"Malvern, PA",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
145,McMenamin & Margiotti,NO,Never design-reviewed,REVIEW,(215) 822-1888,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/mcmenamin-margiotti/,https://buxmontlaw.com/,33,lawyer,Montgomery County,"2303 N Broad St, Suite 2, Colmar, PA 18915",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
146,Pennsylvania Dental Group,NO,Never design-reviewed,REVIEW,(215) 387-0883,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/pennsylvania-dental-group/,https://www.padentalgroup.com/,33,dentist,Philadelphia,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
147,Plastic & Reconstructive Surgical Solutions,NO,Never design-reviewed,REVIEW,(610) 474-2767,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/plastic-surgery-solutions/,https://plasticsurgerysolutions.com/,33,doctor,Montgomery County,"900 Heritage Dr, Suite 920, Sanatoga, PA 19464",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
148,Sciacca Service Center,NO,Never design-reviewed,REVIEW,(610) 277-7744,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/sciacca-service-center/,http://sciaccaservicecenter.com/,15,car-repair,Montgomery County,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
149,Train and Nourish,NO,Never design-reviewed,REVIEW,(267) 710-7744,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/train-and-nourish/,https://trainandnourish.com/,32,fitness-centre,Philadelphia,,phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
150,Wynnewood Eye Care,NO,Never design-reviewed,REVIEW,(610) 896-4540,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/wynnewood-eyecare/,https://www.wynnewoodeyecare.com/,23,optometrist,Montgomery County,"Wynnewood, PA",phl-2026-w34,2026-08-13,design-review-pending,,Confirm on screenshare
151,Artisan Wine and Cheese Cellars,NO,Never design-reviewed,REVIEW,(610) 813-2851,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/artisan-wine-and-cheese-cellars/,https://www.artisanwineandcheesecellars.com/,,Business,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
152,Chadds Ford Animal Hospital,NO,Never design-reviewed,REVIEW,(610) 388-2141,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/chadds-ford-animal-hospital/,http://www.chaddsfordanimalhospital.vetsuite.com/,,Business,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
153,Ciocca Pre-Owned Autos,NO,Never design-reviewed,REVIEW,(610) 395-3745,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ciocca-pre-owned-autos/,https://www.cioccasubaru.com/used-inventory/ciocca-subaru.htm,,Business,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
154,Del Chevrolet,NO,Never design-reviewed,REVIEW,(610) 647-9440,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/del-chevrolet/,https://www.delchevrolet.com/,,Business,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
155,Dinse Dental Care,NO,Never design-reviewed,REVIEW,(717) 396-0330,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dinse-dental-care/,http://www.dinsedentalcare.com/,,Business,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
156,Faulkner Buick GMC,NO,Never design-reviewed,REVIEW,(610) 674-0610,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/faulkner-buick-gmc/,https://www.faulknerauto.com/,,Business,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
157,Fredo's Deli,NO,Never design-reviewed,REVIEW,(412) 344-1060,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/fredo-s-deli/,http://fredosdeli.com/,,Business,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
158,Hamburg Animal Hospital,NO,Never design-reviewed,REVIEW,(610) 562-5000,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/hamburg-animal-hospital/,https://www.hamburganimalhospital.com/hours.pml,,Business,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
159,Harry's Hotdogs,NO,Never design-reviewed,REVIEW,(610) 389-7179,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/harry-s-hotdogs/,https://harryshotdogs.com/,,Business,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
160,Katana Pittsburgh,NO,Never design-reviewed,REVIEW,(412) 388-1800,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/katana/,,,,,"3229 West Liberty Ave, Dormont, PA 15216",Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
161,Legacy Jewelers,NO,Never design-reviewed,REVIEW,(610) 261-5102,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/legacy-jewelers/,,,,,"Schnecksville, PA",Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
162,Nicky's Thai Kitchen Downtown,NO,Never design-reviewed,REVIEW,(412) 471-8424,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/nicky-s-thai-kitchen/,,,,,"903 Penn Ave, Pittsburgh, PA 15222",Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
163,Nottingham Creamery,NO,Never design-reviewed,REVIEW,(610) 932-0825,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/nottingham-creamery/,,,,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
164,OpenArc,NO,Never design-reviewed,REVIEW,(724) 602-0286,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/openarc/,,,,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
165,OSS Health,NO,Never design-reviewed,REVIEW,(717) 633-0031,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/oss-health/,,,,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
166,Radiance Dental,NO,Never design-reviewed,REVIEW,(610) 436-4088,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/radiance-dental/,,,,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
167,Reardon Dental Exton,NO,Never design-reviewed,REVIEW,(610) 624-8552,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/reardon-dental/,,,,,"45 Dowlin Forge Rd, Exton, PA 19341",Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
